POS	exp01	exp10
783	26.49	64.66
784	2.71	1.737
785	5.088	20.18
786	14.99	20.63
787	19.35	23.81
788	19.92	25.68
789	8.104	14.33
790	1.925	1.081
791	23.47	20.96
792	3.96	44.62
793	20.65	31.09
794	30.39	28.97
795	8.412	6.806
796	3.439	2.904
797	9.427	20.36
798	25.06	55.98
799	11.58	36.97
800	8.471	13.21
801	8.471	13.21
802	4.33	22.9
803	7.429	31.26
804	11.11	14.35
805	11.55	55.83
806	16.18	56.32
807	29.35	42.85
808	4.533	21.83
809	2.706	3.477
810	6.599	26.03
811	4.69	35.73
812	2.197	29.51
813	7.233	17.37
814	6.079	17.42
815	25.55	15.48
816	2.093	10.99
817	11.77	12.23
818	3.76	21.68
819	3.537	20.78
820	16.36	49.1
821	5.498	61.9
822	10.61	38.36
823	23.26	58.07
824	10.47	34.24
825	18.86	45.42
826	11.2	57.38
827	10.85	32.88
828	1.559	12.97
829	24.46	37.02
830	7.749	4.633
831	8.681	21.02
832	20.71	61.67
833	7.876	20.68
834	7.505	29.48
835	24.19	41.34
836	16.18	28
837	9.388	12.55
838	2.561	8.2
839	1.973	1.606
840	3.537	20.37
841	25.41	34
842	6.115	13.16
843	5.051	8.067
844	15.85	37.5
845	1.931	24.75
846	22.7	47.64
847	8.843	58.5
848	31.26	41.1
849	14.97	56.6
850	6.349	3.225
851	2.082	11.03
852	19.99	67.04
853	12.44	53.59
854	8.491	57.64
855	10.69	35.35
856	5.936	26.34
857	4.459	7.227
858	2.14	2.028
859	21.71	46
860	20.42	13.78
861	26.15	29.7
862	23.3	52.17
863	16.98	39.71
864	4.969	2.564
865	10.99	17.04
866	10.72	7.497
867	7.35	17.67
868	2.036	6.285
869	1.375	15.66
870	14.19	14.13
871	1.35	19.65
872	23.95	68.22
873	4.858	2.413
874	6.308	40.5
875	2.879	4.45
876	6.334	21.15
877	11.17	53.27
878	7.327	5.809
879	25.42	46.27
880	12.92	50.18
881	15.56	52.29
882	6.194	20.99
883	2.67	2.129
884	4.875	38.05
885	13.44	44.95
886	5.267	43.62
887	6.596	40.33
888	2.705	4.476
889	27.27	34.23
890	22.19	68.58
891	19.21	5.499
892	19.34	17.55
893	17.35	30.06
894	2.291	9.329
895	30.13	48.42
896	8.643	22.12
897	7.992	21.02
898	18.85	29.61
899	12.69	67.34
900	4.836	23.61
901	11.73	13.44
902	8.003	17.2
903	9.027	30.43
904	18.96	43.31
905	8.326	8.933
906	22.73	31.53
907	4.061	6.515
908	16.14	51.67
909	24.32	24.68
910	13.21	47.86
911	27.34	35.35
912	18.66	21.69
913	17.72	37.62
914	27.62	23.97
915	6.532	27.15
916	7.406	3.691
917	6.844	16.54
918	9.602	6.229
919	9.961	28.46
920	3.381	29.5
921	3.381	29.5
922	3.955	6.223
923	34.29	25.33
924	6.604	48.97
925	2.557	51.57
926	12.89	7.65
927	1.985	1.141
928	2.565	3.507
929	2.557	3.503
930	2.697	3.521
931	1.103	9.202
932	1.103	9.202
933	4.602	10.94
934	2.572	3.495
935	9.481	6.377
936	4.338	5.805
937	8.822	11.28
938	2.621	3.51
939	2.565	4.475
940	5.724	10.18
941	5.036	30.13
942	0.5451	20.62
943	2.329	16.56
944	2.294	16.55
945	3.135	1.408
946	4.069	3.853
947	10.49	8.447
948	7.513	52.81
949	7.578	55.37
950	3.316	3.768
951	21.61	32.1
952	16.67	26.91
953	15.61	49.11
954	18.62	25.52
955	0.8532	8.787
956	26.44	21.53
957	2.836	14.99
958	14.54	16.56
959	4.788	4.147
960	3.716	5.167
961	2.526	10.42
962	3.8	5.201
963	3.8	5.201
964	3.041	7.599
965	3.309	8.616
966	2.674	10.44
967	15.05	45.34
968	9.902	25.99
969	2.505	7.423
970	29.28	22.71
971	3.304	7.058
972	4.515	22.12
973	25.28	50.7
974	2.708	14.34
975	1.815	0.9018
976	17.86	31.81
977	7.499	9.634
978	2.663	10.43
979	9.388	46.96
980	2.337	7.965
981	2.353	7.975
982	6.505	39.27
983	5.326	5.437
984	9.172	5.819
985	3.094	13.92
986	3.702	19.24
987	3.702	19.24
988	5.278	14.08
989	5.518	28.41
990	7.457	21.15
991	5.579	27
992	6.603	64
993	2.596	3.511
994	2.724	10.24
995	2.345	2.835
996	22.98	35.89
997	3.11	15
998	11.15	24.28
999	19.01	7.967
1000	6.102	18.08
1001	20.92	37.26
1002	22.01	65.68
1003	11.33	7.157
1004	12.3	12.89
1005	4.402	16.7
1006	5.596	11.92
1007	16.18	48.77
1008	3.099	24.72
1009	14.49	54.51
1010	10.47	51.46
1011	7.165	25.66
1012	7.618	31.84
1013	15.75	51.89
1014	9.386	51.58
1015	9.177	54.16
1016	10.32	47.37
1017	0.7662	26.32
1018	2.029	31.2
1019	2.238	36.19
1020	2.162	34.24
1021	2.137	37.19
1022	7.883	25.11
1023	2.64	3.913
1024	1.64	0.9905
1025	1.64	0.9905
1026	4.399	36.59
1027	4.077	36.34
1028	6.307	26.97
1029	2.192	51.99
1030	6.477	18.43
1031	9.932	32.27
1032	5.07	5.223
1033	1.7	5.487
1034	6.311	20.88
1035	1.564	2.889
1036	1.425	1.525
1037	26.2	30.46
1038	7.976	21.09
1039	26.52	35.29
1040	9.196	7.67
1041	21.86	22.18
1042	6.645	12.86
1043	26.91	66.42
1044	3.962	10.97
1045	17.62	35.16
1046	3.708	8.621
1047	1.605	5.899
1048	5.33	12.3
1049	4.784	19.63
1050	11.64	12.99
1051	3.564	6.077
1052	6.566	23.64
1053	8.404	31.28
1054	2.311	3.991
1055	23.33	25.03
1056	17.76	21.28
1057	26.63	39.57
1058	2.272	1.393
1059	2.644	12.61
1060	2.614	5.483
1061	1.651	4.687
1062	1.32	7.819
1063	8.053	21.01
1064	9.095	21.04
1065	1.301	33.38
1066	16.25	54.69
1067	17.05	61.93
1068	2.756	14.82
1069	2.026	4.848
1070	2.75	7.567
1071	4.081	7.008
1072	5.03	8.341
1073	18.37	30.44
1074	13.5	23.38
1075	12.32	26.66
1076	20.97	16.22
