POS	prob01	prob10
420	7.578	6.264
421	7.991	18.22
422	7.529	53.08
423	3.52	5.795
424	7.964	20.63
425	6.066	32.98
426	12.5	68.59
427	10.74	21.94
428	1.111	14.76
429	7.456	53.99
430	16.13	12.66
431	7.279	23.04
432	14.23	21.81
433	9.205	17.04
434	19.51	65.46
435	11.45	12.9
436	5.798	13.77
437	2.345	6.605
438	2.798	2.716
439	4.405	23.16
440	2.645	0.8892
441	10.4	53.68
442	5.324	41.68
443	14.43	28.76
444	12.21	11.89
445	5.504	49.91
446	9.971	49.28
447	21.49	32.52
448	18.25	71.53
449	3.468	26.12
450	4.948	11.53
451	10.81	33.93
452	2.211	7
453	2.487	7.205
454	13.59	44.69
455	3.95	9.829
456	22.95	34.31
457	10.28	42.11
458	21.16	26.32
459	10.05	6.595
460	22.75	32.02
461	10.74	2.53
462	4.241	16.67
463	4.91	9.604
464	17.91	60.24
465	3.968	9.904
466	18.11	12.72
467	24.73	25.78
468	6.94	11.46
469	9.62	13.42
470	4.839	2.319
471	19.52	28.4
472	9.538	34.78
473	9.883	7.806
474	4.751	9.428
475	10.33	4.962
476	1.261	1.346
477	5.168	10.19
478	1.829	5.741
479	1.988	1.076
480	7.395	1.049
481	16.2	21.34
482	3.162	32.24
483	2.766	6.509
484	3.651	27.79
485	7.101	13.42
486	10.36	40.64
487	31.25	50.64
488	2.539	4.3
489	1.814	14.51
490	5.46	35.4
491	4.511	22.25
492	1.482	23.07
493	2.282	3.956
494	3.072	1.456
495	7.584	1.914
496	2.407	3.344
497	3.501	17.89
498	6.808	23.99
499	2.025	4.712
500	3.162	7.091
501	2.184	12.85
502	5.408	14.52
503	3.351	4.232
504	12.19	17.29
505	4.928	16.87
506	5.657	20.25
507	2.4	3.587
508	3.914	7.916
509	11.08	18.01
510	14.95	30.27
511	6.633	32.56
512	11.62	20.48
513	1.567	3.289
514	8.502	17.5
515	15.84	40.64
516	9.355	18.72
517	0.9099	0.9898
518	3.4	9.597
519	25.69	25.38
520	4.126	0.814
521	12.55	39.49
522	4.997	12.38
523	14.1	53.53
524	22.5	70.82
525	4.322	6.852
526	19.18	26.46
527	2.529	5.262
528	31.35	21.66
529	5.044	3.819
530	12.22	16.25
531	1.445	7.145
532	6.003	12.16
533	7.635	19.19
534	4.099	4.842
535	3.683	4.759
536	4.057	1.723
537	9.289	5.888
538	20.83	31.74
539	18.37	30.52
540	19.72	32.4
541	5.145	34.96
542	5.732	20.87
543	9.383	9.579
544	1.979	1.142
545	22.64	20.39
546	7.137	4.806
547	18.03	59.48
548	15.62	54.44
549	9.903	13.06
550	9.903	13.06
551	17.85	22.33
552	24.02	19.85
553	21.7	46.73
554	25.07	40.02
555	26.29	25.49
556	22.38	65.07
557	14.46	16.81
558	20.79	48.67
559	7.516	51.23
560	6.552	33.13
561	5.306	23.55
562	8.207	30.09
563	2.003	45.25
564	6.849	8.352
565	16.53	9.386
566	6.566	25.36
567	8.574	2.879
568	3.429	37.38
569	23.2	71.43
570	11.11	14.2
571	25.2	66.84
572	10.58	30.36
573	18.14	27.46
574	3.816	5.754
575	3.569	4.055
576	14.73	32.23
577	6.25	4.665
578	25.8	12.58
579	3.502	15.37
580	8.58	7.258
581	5.605	12.32
582	6.024	8.081
583	3.061	6.321
584	5.616	42.2
585	26.08	44.42
586	6.788	14.16
587	2.922	1.199
588	28.21	31.94
589	7.157	5.308
590	8.834	38.54
591	1.938	1.199
592	10.21	31.14
593	23.21	55.18
594	1.866	1.101
595	1.866	1.101
596	1.866	1.101
597	1.866	1.101
598	1.866	1.101
599	15.71	7.515
600	22.54	52.35
601	13.66	34.39
602	8.168	65.62
603	23.13	28.87
604	13.59	57.73
605	9.042	6.929
606	21.6	19.22
607	9.687	53.36
608	26.07	50.63
609	27.54	29.92
610	23.89	24.56
611	13.59	10.57
612	7.353	6.098
613	25.63	24.71
614	25.79	34.28
615	14.21	9.907
616	2.074	2.188
617	16.81	36.41
618	3.694	31.29
619	19.65	21.82
620	2.946	1.169
621	6.165	3.157
622	6.25	46.44
623	1.998	1.186
624	14.97	24.92
625	8.316	10.89
626	10.32	27.98
627	8.062	16.51
628	8.424	15.3
629	9.434	22.05
630	6.623	4.167
631	11.89	57.53
632	25.8	45.68
633	14	14.14
634	30.68	10.5
635	2.747	18.71
636	18.55	27.85
637	8.048	9.409
638	3.186	11.95
639	6.479	23.35
640	19.03	46.52
641	24.23	14.63
642	13.35	39.23
643	23.57	26.99
644	15.82	64.84
645	20.73	61.44
646	16.81	57.64
647	16.81	57.64
648	4.49	9.748
649	6.642	3.518
650	6.823	42.63
651	16.9	63.51
652	3.896	3.992
653	13	36.8
654	7.256	18.87
655	30.59	42.55
656	18.16	36.23
657	23.83	27.75
658	1.12	11.01
659	2.399	5.887
660	1.994	1.121
661	8.788	24.16
662	5.162	3.335
663	2.036	1.829
664	27.36	29
665	16.79	57.7
666	8.967	30.83
667	4.001	2.602
668	20.13	52.01
669	3.898	7.136
670	17.43	34.73
671	11.93	43.09
672	9.545	53.62
673	12.5	40
674	18.32	59.79
675	27.1	42.86
676	27.33	41.98
677	20.9	43.6
678	9.465	24.87
679	20.68	73.83
680	23.95	58.39
681	15.08	55.73
