POS	prob01	prob10
723	4.705	0.9546
724	9.645	4.493
725	10.34	8.978
726	2.15	1.413
727	6.093	7.879
728	12.39	13.83
729	2.454	1.503
730	12.39	13.83
731	3.965	4.309
732	3.965	4.309
733	1.207	0.8434
734	1.207	0.8434
735	8.53	10.19
736	7.624	8.877
737	11.37	10.71
738	8.845	6.739
739	3.716	5.046
740	2.054	2.236
741	10.25	11.96
742	7.74	8.581
743	5.209	2.133
744	6.879	4.747
745	6.879	4.747
746	3.773	4.931
747	9.19	10.01
748	2.454	1.503
749	4.603	4.497
750	7.101	8.596
751	3.176	3.114
752	12.94	14.88
753	5.176	1.868
754	2.247	2.608
755	6.925	9.095
756	4.896	6.936
757	4.896	6.936
758	2.054	2.236
759	3.143	4.438
760	1.145	0.2385
761	1.788	3.284
762	4.354	0.9202
763	4.599	5.35
764	6.632	7.135
765	12.03	11.12
766	6.127	4.572
767	4.374	1.726
768	10.46	3.358
769	4.998	5.421
770	1.207	0.8434
771	7.906	2.508
772	7.831	2.517
773	1.571	2.019
774	7.368	1.788
775	2.384	2.365
776	7.791	7.48
777	8.719	3.985
778	3.176	3.114
779	10.43	5.905
780	7.465	6.855
781	4.543	1.407
782	3.481	3.519
783	8.468	6.115
784	5	4.73
785	1.889	2.892
786	7.433	4.638
787	1.145	0.2385
788	3.962	5.972
789	2.241	2.311
790	6.136	7.807
791	8.669	7.965
792	9.107	7.693
793	5.997	5.645
794	10.91	11.28
795	2.234	2.264
796	10.87	11.11
797	8.021	8.365
798	11.55	11.29
799	9.373	8.913
800	7.194	1.777
801	7.194	1.777
802	7.036	7.806
803	10.1	10.93
804	10.46	12.31
805	6.941	6.424
806	2.054	2.236
807	2.054	2.236
808	1.592	1.302
809	1.592	1.302
810	1.98	6.068
811	1.207	0.8434
812	5.341	2.044
813	3.512	3.361
814	1.984	1.971
815	9.028	5.365
816	2.054	2.236
817	2.247	2.608
818	2.247	2.608
819	2.247	2.608
820	2.384	2.365
821	8.378	2.218
822	8.468	6.115
823	5.541	5.542
824	2.454	1.503
825	12.02	8.598
826	1.072	0.248
827	11.5	10.2
828	7.624	8.877
829	2.048	2.392
830	2.054	2.236
831	1.161	1.234
832	5.38	6.384
833	3.094	3.237
834	3.094	3.237
835	9.107	11.41
836	1.145	0.2385
837	8.353	9.808
838	1.145	0.2385
839	2.297	2.171
840	2.297	2.171
841	2.297	2.171
842	8.353	9.808
843	3.497	5.014
844	8.353	9.808
845	8.353	9.808
846	2.297	2.171
847	3.716	1.286
848	3.182	4.972
849	7.409	3.603
850	1.112	0.8869
851	2.054	2.236
852	2.054	2.236
853	6.297	3.085
854	1.207	0.8434
855	1.832	8.162
856	3.182	4.972
857	1.924	1.688
858	1.924	1.688
859	7.673	2.112
860	4.424	1.201
861	1.803	1.916
862	2.975	1.4
863	9.535	9.56
864	2.848	5.209
865	5.8	5.695
866	9.844	10.27
867	1.072	0.248
868	2.054	2.236
869	7.759	9.899
870	8.378	2.218
871	3.16	1.843
872	1.161	1.234
873	5.997	5.645
874	7.465	6.855
875	4.225	0.9929
876	5.997	5.645
877	5.997	5.645
878	4.225	0.9929
879	6.218	5.67
880	2.165	1.059
881	5.043	0.7271
882	8.378	2.218
883	10.25	11.96
884	2.384	2.365
885	9.067	4.392
886	10.08	2.374
887	10.46	3.358
888	7.564	8.485
889	6.208	6.131
890	6.657	3.195
891	10.17	10.37
892	1.592	1.302
893	3.464	1.56
894	8.097	9.053
895	1.145	0.2385
896	6.946	8.186
897	8.468	6.115
898	8.669	7.965
899	2.384	2.365
900	1.835	2.82
901	7.234	3.615
902	4.002	2.829
903	7.975	5.721
904	9.051	10.26
905	8.097	9.053
906	2.054	2.236
907	1.207	0.8434
908	8.169	1.201
909	1.112	0.8869
910	1.112	0.8869
911	1.112	0.8869
912	1.745	1.937
913	4.603	4.497
914	2.637	3.131
915	2.054	2.236
916	6.244	6.111
917	10.52	10.41
918	11.49	11.68
919	7.973	8.389
920	3.531	0.9639
921	3.531	0.9639
922	1.145	0.2385
923	4.315	3.424
924	5.698	1.613
925	2.049	1.013
926	2.285	2.721
927	1.072	0.248
928	5.501	7.648
929	7.101	8.596
930	7.101	8.596
931	3.151	4.444
932	7.218	6.659
933	12.94	14.88
934	12.53	12.29
935	1.27	3.115
936	2.054	2.236
937	2.384	2.365
938	2.054	2.236
939	2.054	2.236
940	9.901	6.439
941	9.156	1.683
942	11.85	10.72
943	2.054	2.236
944	2.059	1.503
945	6.955	6.074
946	2.419	3.138
947	8.468	6.115
948	8.468	6.115
949	1.132	7.994
950	8.468	6.115
951	1.132	7.994
952	4.837	3.497
953	1.606	1.917
954	1.984	1.971
955	4.543	1.407
956	2.384	2.365
957	6.928	2.362
958	8.378	2.218
959	1.592	1.302
960	2.358	1.91
961	7.465	6.855
962	5.997	5.645
963	4.61	4.31
964	7.465	6.855
965	5.997	5.645
966	11.5	11.44
967	2.054	2.236
968	10.7	1.849
969	6.946	8.186
970	2.384	2.365
971	2.384	2.365
972	2.384	2.365
973	2.384	2.365
974	8.46	10.22
975	7.705	8.545
976	8.669	7.965
977	5.997	5.645
978	5.997	5.645
979	11.56	11.76
980	6.726	7.135
981	6.621	6.26
982	2.054	2.236
983	5.975	9.482
984	4.556	2.025
985	6.138	3.388
986	8.213	11.71
987	4.981	1.38
988	1.039	2.174
989	9.584	6.669
990	2.054	2.236
991	11.82	12.44
992	12.43	12.14
993	8.361	8.683
994	3.176	3.114
995	6.751	4.919
996	13.32	14.19
997	7.4	6.24
998	12.07	12.64
999	6.573	6.479
1000	2.048	2.392
1001	6.138	6.078
1002	12.82	12.47
1003	6.47	6.533
1004	5.352	1.683
1005	8.468	6.115
1006	9.107	7.693
1007	2.054	2.236
1008	2.054	2.236
1009	2.054	2.236
1010	2.054	2.236
1011	6.941	6.424
1012	6.244	6.111
1013	2.384	2.365
1014	9.24	6.219
1015	2.054	2.236
1016	2.054	2.236
1017	2.054	2.236
1018	2.454	1.503
1019	6.621	6.26
1020	8.129	5.678
1021	2.054	2.236
1022	9.722	10.02
1023	10.58	10.17
1024	11.39	11.51
1025	8.53	10.19
1026	7.165	8.783
1027	11.41	13.4
1028	7.882	8.534
1029	8.468	6.115
1030	10.36	7.289
1031	10.03	9.465
1032	10.03	9.465
1033	1.571	2.019
1034	4.334	4.838
1035	5.239	5.678
1036	5.239	5.678
1037	2.384	2.365
1038	3.702	1.369
1039	3.094	3.237
1040	3.143	4.438
1041	2.234	2.264
1042	4.481	7.124
1043	3.176	3.114
1044	6.244	6.111
1045	3.716	5.046
1046	6.621	6.26
1047	13.58	12.94
1048	1.926	1.399
1049	6.751	4.919
1050	2.942	4.893
1051	2.942	4.893
1052	2.942	4.893
1053	2.617	1.239
1054	4.32	6.802
1055	4.112	6.515
1056	4.112	6.515
1057	9.156	1.683
1058	1.592	1.302
1059	2.247	2.608
1060	4.998	5.421
1061	2.054	2.236
1062	10.34	9.752
1063	10.75	10.89
1064	2.054	2.236
1065	9.789	8.879
1066	2.054	2.236
1067	7.624	8.877
1068	5.18	5.592
1069	5.501	7.648
1070	5.501	7.648
1071	2.769	5.046
1072	12.75	14.02
1073	1.745	1.937
1074	4.903	9.642
1075	4.832	9.224
1076	1.592	1.302
1077	6.39	8.393
1078	1.077	0.1655
1079	8.378	2.218
1080	5.83	4.667
1081	10.7	1.849
1082	2.048	2.392
1083	3.077	7.103
1084	1.778	4.964
1085	1.139	1.974
1086	9.936	6.479
1087	6.297	3.085
1088	9.533	12.22
1089	10.21	9.396
1090	1.145	0.2385
1091	1.145	0.2385
1092	7.086	3.52
1093	7.086	3.52
1094	7.086	3.52
1095	8.468	6.115
1096	3.379	8.569
1097	6.757	4.347
1098	7.03	8.243
1099	4.896	6.936
1100	1.16	0.8837
1101	2.049	1.013
1102	3.266	3.354
1103	1.145	0.2385
1104	1.207	0.8434
1105	7.759	9.899
1106	6.884	6.88
1107	6.297	8.864
1108	3.381	7.737
1109	10.22	10.24
1110	1.145	0.2385
1111	5.528	6.047
1112	1.145	0.2385
1113	3.475	4.242
1114	4.806	8.905
1115	4.089	4.619
1116	3.773	4.931
1117	1.35	1.994
1118	3.094	3.237
1119	2.349	7.296
1120	3.642	4.718
1121	2.384	2.365
1122	2.247	2.608
1123	2.247	2.608
1124	2.247	2.608
1125	6.573	6.479
1126	4.684	4.536
1127	6.788	0.7475
1128	11.18	10.23
1129	2.054	2.236
1130	2.224	4.555
1131	2.247	2.608
1132	2.247	2.608
1133	2.247	2.608
1134	1.98	6.068
1135	6.657	3.195
1136	2.054	2.236
1137	10.36	7.289
1138	9.152	11.77
1139	6.244	6.111
1140	2.054	2.236
1141	8.879	6.059
1142	2.241	2.311
1143	1.145	0.2385
1144	2.054	2.236
1145	8.521	9.389
1146	14.69	11.87
1147	6.573	6.479
1148	7.481	7.726
1149	11.17	11.6
1150	7.624	8.877
1151	11.18	10.23
1152	1.945	3.145
1153	7.624	8.877
1154	5.968	2.184
1155	10.31	9.675
1156	1.227	1.296
1157	1.145	0.2385
1158	3.083	0.951
1159	10.36	7.289
1160	2.054	2.236
1161	8.877	9.518
1162	3.275	3.716
1163	8.592	3.918
1164	1.145	0.2385
1165	9.999	2.312
1166	10.35	6.721
1167	10.1	10.93
1168	1.745	1.937
1169	1.145	0.2385
1170	2.351	2.084
1171	6.488	2.905
1172	5.18	5.592
1173	1.984	1.971
1174	3.655	3.778
1175	4.684	4.536
1176	2.497	2.571
1177	3.176	3.114
1178	2.256	1.158
1179	1.422	1.264
1180	3.408	2.657
1181	1.145	0.2385
1182	8.855	1.762
1183	5.18	5.592
1184	7.087	2.558
1185	8.176	1.55
1186	12.53	12.29
1187	8.669	7.965
1188	4.815	7.768
1189	11.32	10.59
1190	5.074	1.351
1191	5.074	1.351
1192	7.101	8.596
1193	8.993	1.883
1194	2.294	2.048
1195	2.384	2.365
1196	2.384	2.365
1197	2.384	2.365
1198	2.234	2.264
1199	11.39	11.51
1200	3.805	3.188
1201	2.658	4.393
1202	2.658	4.393
1203	1.924	1.688
1204	1.582	1.398
1205	6.726	7.135
1206	10.34	8.978
1207	1.073	9.159
1208	2.054	2.236
1209	2.054	2.236
1210	5.176	4.861
1211	3.176	3.114
1212	2.553	4.043
1213	2.054	2.236
1214	5.431	5.433
1215	8.135	10.37
1216	0.6258	2.018
1217	4.12	7.158
1218	10.34	9.752
1219	10.75	10.89
1220	2.054	2.236
1221	2.054	2.236
1222	11.39	11.51
1223	2.054	2.236
1224	5.144	1.843
1225	2.059	1.503
1226	1.145	0.2385
1227	1.145	0.2385
1228	1.145	0.2385
1229	3.854	4.74
1230	8.182	5.002
1231	4.616	4.722
1232	4.089	2.112
1233	9.24	6.219
1234	1.207	0.8434
1235	8.788	9.403
1236	5.116	4.656
1237	5.18	5.592
1238	3.019	1.869
1239	5.506	5.569
1240	7.301	6.464
1241	7.791	7.48
1242	7.791	7.48
1243	7.791	7.48
1244	12.27	12.6
1245	8.259	10.95
1246	9.999	2.312
1247	12.55	12.56
1248	1.072	0.248
1249	5.136	0.9699
1250	8.12	9.004
1251	8.12	9.004
1252	3.047	3.311
1253	9.24	6.219
1254	2.007	1.174
1255	4.334	4.838
1256	4.684	4.536
1257	1.207	0.8434
1258	4.896	6.936
1259	7.624	8.877
1260	5.937	2.955
1261	5.937	2.955
1262	2.054	2.236
1263	12.75	14.02
1264	6.185	8.924
1265	2.054	2.236
1266	5.007	4.817
1267	8.421	10.62
1268	3.512	3.361
1269	1.992	1.143
1270	1.288	1.24
1271	1.145	0.2385
1272	9.043	9.685
1273	8.378	2.218
1274	6.751	4.269
1275	4.684	4.536
1276	2.297	0.9856
1277	2.297	0.9856
1278	7.085	7.757
1279	3.275	3.716
1280	2.384	2.365
1281	3.085	3.812
1282	3.947	6.009
1283	4.998	5.421
1284	4.998	5.421
1285	2.054	2.236
1286	2.054	2.236
1287	2.384	2.365
1288	8.855	1.762
1289	7.843	7.074
1290	7.086	3.52
1291	7.086	3.52
1292	1.984	1.971
1293	8.669	7.965
1294	4.837	3.497
1295	9.156	1.683
1296	9.999	2.312
1297	8.475	2.291
1298	8.475	2.291
1299	7.094	2.039
1300	9.226	9.549
1301	2.465	3.26
1302	3.899	2.319
1303	1.869	0.9238
1304	1.869	0.9238
1305	1.514	4.473
1306	8.113	8.75
1307	2.054	2.236
1308	2.054	2.236
1309	5.074	1.351
1310	7.281	1.764
1311	10.26	4.937
1312	10.26	4.937
1313	1.207	0.8434
1314	10.36	7.289
1315	7.465	6.855
1316	5.83	4.667
1317	3.143	4.438
1318	8.669	7.965
1319	8.669	7.965
1320	2.234	2.264
1321	6.621	6.26
1322	2.054	2.236
1323	3.359	3.88
1324	3.176	3.114
1325	6.698	4.084
1326	1.145	0.2385
1327	7.734	9.798
1328	2.285	2.721
1329	5.176	4.861
1330	7.481	7.726
1331	2.054	2.236
1332	2.384	2.365
1333	6.841	2.364
1334	7.481	7.726
1335	8.213	11.71
1336	2.054	2.236
1337	10.31	9.675
1338	1.145	0.2385
1339	3.892	1.156
1340	1.145	0.2385
1341	1.077	0.1655
1342	1.87	3.533
1343	1.145	0.2385
1344	1.145	0.2385
1345	1.145	0.2385
1346	1.145	0.2385
1347	1.145	0.2385
1348	1.145	0.2385
